District,Perturbation (%),Maize_Production (old),Maize_Production (new),Percentage Change
BAGALKOT,-10,251699,235043.0705,-6.617399957
BALLARI,-10,104045,147205.4842,41.48251643
BELAGAVI,-10,576758,575133.65,-0.281634591
BENGALURU,-10,2879,1770.200741,-38.51334696
BENGALURU(R),-10,42583,39324.53902,-7.652023053
BIDAR,-10,2791,-1413.683275,-150.6514968
CHAMARAJANAGAR,-10,147886,111106.6027,-24.87010083
CHIKKABALLAPURA,-10,105491,182709.2253,73.19887506
CHIKKAMAGALURU,-10,61353,91021.04359,48.35630465
CHITRADURGA,-10,271975,278414.3031,2.367608469
DAKSHINA KANNADA,-10,0,0,0
DAVANAGERE,-10,593544,548372.3636,-7.610494989
DHARAWAD,-10,90634,114296.7858,26.10806741
GADAG,-10,138476,157398.8489,13.66507472
HASSAN,-10,333937,300450.8077,-10.02769754
HAVERI,-10,413487,400379.839,-3.169908857
KALABURAGI,-10,14621,5280.393982,-63.88486436
KODAGU,-10,17921,24125.41506,34.62091992
KOLAR,-10,1759,-1445.597666,-182.1829259
KOPPAL,-10,190252,163599.5428,-14.00902865
MANDYA,-10,19387,14406.10444,-25.6919356
MYSURU,-10,137154,130405.7345,-4.920210522
RAICHUR,-10,723,572.8007957,-20.77444043
RAMANAGARA,-10,10450,2871.955947,-72.51716797
SHIVAMOGGA,-10,226532,146040.2223,-35.53218869
TUMAKURU,-10,66868,70516.96484,5.456967214
UDUPI,-10,109,-5431.980932,-5083.468745
UTTARA KANNADA,-10,24088,12528.72658,-47.98768439
Vijayanagara,-10,104045,147220.4292,41.49688037
VIJAYAPURA,-10,226327,171118.1954,-24.39337976
YADGIRI,-10,2673,-1608.929046,-160.1918835
